#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
135,Mario Gigena,0,SOLS,32,20.5,6.6,2.1,5.1,417,1.3,3.1,408,1.1,1.5,729,0.5,1.3,1.8,0.6,1.0,0.1,1.3,2.1
136,Shaun Stonerook,0,SANA,44,28.0,6.6,2.0,4.2,475,1.1,2.8,398,1.5,2.1,720,0.8,5.9,6.6,2.0,2.8,0.3,1.8,2.9
137,Christian DiGiuliomaria,0,PAU,33,20.3,6.6,2.7,4.9,540,0.5,1.2,375,0.8,2.7,289,1.8,2.8,4.5,0.5,1.2,0.8,2.0,3.1
138,Gregor Fucka,0,ROM,44,17.6,6.5,2.7,4.6,578,0.0,0.1,167,1.1,2.0,528,1.2,2.4,3.6,0.7,1.1,0.4,1.5,2.5
139,Herve Toure,0,MIL,6,17.7,6.3,2.3,5.2,452,0.7,2.0,333,1.0,1.7,600,1.8,1.3,3.2,0.0,0.2,0.3,1.3,2.0
140,Fabio Di Bella,0,BOL,20,19.9,6.3,2.5,4.9,500,0.4,1.4,259,1.1,1.5,724,0.4,1.9,2.3,1.6,2.0,0.0,1.5,1.9
141,Steponas Babrauskas,0,VAR,7,16.4,6.3,1.7,4.3,400,1.0,2.9,350,1.9,2.3,813,1.6,1.9,3.4,0.4,0.4,0.1,1.3,3.7
142,Ruben Wolkowyski,0,SCAF,22,24.0,6.2,2.2,5.3,419,0.5,2.0,256,1.2,1.5,794,1.1,3.8,5.0,0.5,1.2,0.4,1.7,1.7
143,Christian Drejer,0,ROM,6,19.7,6.0,2.2,4.5,481,0.7,2.0,333,1.0,1.5,667,0.3,2.0,2.3,1.7,0.3,0.2,1.2,2.5
144,Jacopo Giachetti,0,ROM,18,18.8,5.9,2.3,4.4,519,0.6,1.4,440,0.8,1.0,778,0.2,1.8,2.0,0.9,0.8,0.0,1.5,2.9
145,Iker Iturbe,0,BOL,8,20.6,5.9,1.9,4.5,417,1.3,2.8,455,0.9,1.0,875,0.8,1.9,2.6,0.9,1.6,0.0,2.0,2.4
146,Miroslav Raicevic,0,SS,8,17.9,5.9,2.3,6.3,360,0.9,2.8,318,0.5,0.6,800,0.9,2.0,2.9,0.3,0.4,0.1,1.8,3.5
147,Luca Garri,0,BOL,30,15.4,5.9,2.1,4.7,437,0.7,1.9,345,1.1,1.4,762,1.5,2.3,3.8,0.3,1.0,0.4,1.1,2.2
148,Julius Hodge,0,SCAF,6,15.0,5.8,2.7,6.7,400,0.0,0.5,0,0.5,0.8,600,1.2,1.8,3.0,0.8,0.7,0.3,1.7,1.3
149,Rasheed Brokenborough,0,PES,34,20.8,5.8,2.0,5.1,383,0.5,1.9,281,1.4,1.9,730,0.3,1.3,1.6,1.1,1.1,0.3,1.4,1.8
150,Stalin Ortiz,0,AVE,30,14.7,5.8,2.1,4.2,504,0.2,0.9,259,1.3,2.0,639,0.9,1.4,2.3,0.4,1.4,0.0,0.9,1.4
151,Steponas Babrauskas,0,SCAF,18,14.7,5.8,1.6,2.7,583,0.7,1.0,722,1.9,2.3,854,0.7,1.2,1.9,0.3,0.7,0.0,0.8,2.1
152,Andrea Michelori,0,BOL,14,17.0,5.7,2.0,3.6,549,0.0,0.4,0,1.7,2.9,600,1.6,2.6,4.1,0.3,1.5,0.1,1.5,2.4
153,Mindaugas Katelynas,0,MIL,30,13.0,5.7,2.3,4.2,560,0.5,1.1,455,0.5,1.1,500,1.5,2.2,3.7,0.3,1.1,0.1,1.0,2.2
154,Marco Passera,0,VAR,32,23.5,5.7,1.9,5.1,368,0.4,1.6,231,1.5,2.0,754,0.3,1.7,2.0,2.3,2.5,0.1,1.9,2.9
155,Samuele Podesta,0,PES,34,16.1,5.6,2.5,4.4,567,0.0,0.0,0,0.6,1.6,400,1.7,3.3,5.0,0.4,1.1,0.4,1.7,2.6
